STATES,,Lower_Level_People,Upper_Level_People,Lower_Bound_Children,Upper_Bound_Children
Alabama,,784517,820009,253694,272124
Alaska,,75273,83583,23957,28201
Arizona,,1002773,1043901,324723,347577
Arkansas,,463966,487800,149187,162569
California,,5111205,5217133,1586526,1645300
Colorado,,552126,580110,143486,160312
Connecticut,,326360,350942,89324,101814
Delaware,,116181,127003,32862,37720
District of Columbia,,104105,114899,29285,35421
Florida,,2860804,2942948,829310,872538
Georgia,,1503877,1568261,513320,550706
Hawaii,,126481,137921,32442,38702
Idaho,,203631,220243,60371,69421
Illinois,,1543257,1594083,470646,500986
Indiana,,841903,879603,263205,285029
Iowa,,319716,337542,85662,94830
Kansas,,325420,345322,97150,108566
Kentucky,,723378,753748,211037,226431
Louisiana,,875670,911984,293085,312963
Maine,,141958,152868,32560,37530
Maryland,,541127,571971,157132,173598
Massachusetts,,675076,710810,173590,191332
Michigan,,1351618,1395098,404866,427744
Minnesota,,505806,528890,142348,156088
Mississippi,,561749,585685,187869,200803
Missouri,,776721,809281,240522,259136
Montana,,125024,136208,32971,37675
National,,42342619,42824683,13229339,13477065
Nebraska,,191439,206529,59898,68064
Nevada,,379792,405922,122765,135439
New Hampshire,,95275,105825,22708,27858
New Jersey,,862408,901856,259622,281804
New Mexico,,378032,399548,118269,129821
New York,,2700018,2771138,793426,831246
North Carolina,,1442873,1493191,461659,491217
North Dakota,,70249,77865,17896,21426
Ohio,,1551281,1599521,493056,521182
Oklahoma,,589591,612231,193877,207017
Oregon,,521125,548567,133798,148368
Pennsylvania,,1524709,1572405,430076,457254
Rhode Island,,118956,131460,34517,39665
South Carolina,,735356,765362,234515,251123
South Dakota,,103234,111810,31772,36182
Tennessee,,961862,998926,303257,323607
Texas,,4036102,4124652,1494968,1556920
Utah,,284801,307475,90671,103091
Vermont,,61032,69104,13200,16112
Virginia,,856763,896113,247583,268493
Washington,,781803,817547,219520,240494
West Virginia,,316875,336129,83372,91830
Wisconsin,,627066,653282,175854,191036
Wyoming,,57678,64960,15694,18938
,,,,,
,,,,,
