Country,State,total_population
USA,California,39776830
USA,Texas,28704330
USA,Florida,21312211
USA,New York,19862512
USA,Pennsylvania,12823989
USA,Illinois,12768320
USA,Ohio,11694664
USA,Georgia,10545138
USA,North Carolina,10390149
USA,Michigan,9991177
USA,New Jersey,9032872
USA,Virginia,8525660
USA,Washington,7530552
USA,Arizona,7123898
USA,Massachusetts,6895917
USA,Tennessee,6782564
USA,Indiana,6699629
USA,Missouri,6135888
USA,Maryland,6079602
USA,Wisconsin,5818049
USA,Colorado,5684203
USA,Minnesota,5628162
USA,South Carolina,5088916
USA,Alabama,4888949
USA,Louisiana,4682509
USA,Kentucky,4472265
USA,Oregon,4199563
USA,Oklahoma,3940521
USA,Connecticut,3588683
USA,Iowa,3160553
USA,Utah,3159345
USA,Nevada,3056824
USA,Arkansas,3020327
USA,Mississippi,2982785
USA,Kansas,2918515
USA,New Mexico,2090708
USA,Nebraska,1932549
USA,West Virginia,1803077
USA,Idaho,1753860
USA,Hawaii,1426393
USA,New Hampshire,1350575
USA,Maine,1341582
USA,Montana,1062330
USA,Rhode Island,1061712
USA,Delaware,971180
USA,South Dakota,877790
USA,North Dakota,755238
USA,Alaska,738068
USA,District of Columbia,703608
USA,Vermont,623960
USA,Wyoming,573720
USA,,
